epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.96935,1.52425,3.20551,1.33882,0.09854,0.3208,0.15689,0.07925,1.02076,2.9251,0.9139,0.00022,0.00022,0.00022
2,9.40766,1.24963,2.49296,1.04984,0.16595,0.96742,0.84824,0.50115,0.97217,2.69407,0.86635,0.000457723,0.000457723,0.000457723
3,11.5365,1.08016,1.7341,0.99931,0.17885,0.96241,0.89388,0.51679,1.05692,2.52561,0.89179,0.00069307,0.00069307,0.00069307
4,13.6423,1.13655,1.55078,0.99572,0.98089,0.90035,0.94328,0.63007,1.13085,2.27393,0.93643,0.000926041,0.000926041,0.000926041
5,15.6655,1.19721,1.1971,1.06883,0.99449,0.90456,0.98469,0.63239,1.33742,1.66844,1.00561,0.00115664,0.00115664,0.00115664
6,17.6729,1.15196,1.05788,1.06257,0.99222,0.95935,0.98673,0.69178,1.10536,1.16706,0.93858,0.00138485,0.00138485,0.00138485
7,19.5328,1.04695,0.96501,0.9953,0.97946,0.95594,0.98156,0.72638,1.06173,1.0329,0.92788,0.0016107,0.0016107,0.0016107
8,21.2656,1.08408,0.99032,0.9953,0.97894,0.96992,0.98539,0.72144,1.07873,1.0382,0.92755,0.00183416,0.00183416,0.00183416
9,23.1344,1.12415,0.98315,1.00431,0.97347,0.98496,0.98558,0.69636,1.11206,0.90274,0.95936,0.0019208,0.0019208,0.0019208
10,24.8352,1.05465,0.86309,0.96843,0.97672,0.98747,0.98516,0.70294,1.06948,0.77548,0.95549,0.0019109,0.0019109,0.0019109
11,26.6558,1.02823,0.88953,1.01528,0.98,0.98232,0.98863,0.7016,1.12897,0.86556,1.02113,0.001901,0.001901,0.001901
12,28.3932,1.02715,0.78904,1.00034,0.98035,0.97995,0.99109,0.72862,1.00575,0.76743,0.98259,0.0018911,0.0018911,0.0018911
13,30.2351,1.04184,0.79781,1.01059,0.97665,0.96992,0.99076,0.7341,0.98694,0.69286,0.96813,0.0018812,0.0018812,0.0018812
14,31.9274,1.00962,0.80258,0.99788,0.96087,0.98466,0.99006,0.71776,1.01891,0.67595,0.96393,0.0018713,0.0018713,0.0018713
15,33.7403,0.99365,0.75656,1.02026,0.96098,0.98759,0.9897,0.75443,0.88311,0.67996,0.96268,0.0018614,0.0018614,0.0018614
16,35.5053,0.98159,0.72906,0.96326,0.97748,0.97921,0.99209,0.73394,0.92136,0.6542,0.98194,0.0018515,0.0018515,0.0018515
